2026-04-15 18:39:52,680 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2026-04-15 18:39:52,701 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2026-04-15 18:39:52,701 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2026-04-15 18:39:52,702 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2026-04-15 18:39:52,704 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2026-04-15 18:39:52,704 INFO  SwAddin.cs: 197 - Setting up callbacks
2026-04-15 18:39:52,705 INFO  SwAddin.cs: 201 - Setting up command manager
2026-04-15 18:39:52,705 INFO  SwAddin.cs: 204 - Adding command manager
2026-04-15 18:39:52,707 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2026-04-15 18:39:52,707 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2026-04-15 18:39:52,708 INFO  SwAddin.cs: 210 - Adding event handlers
2026-04-15 18:39:52,816 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2026-04-15 18:45:52,608 INFO  SwAddin.cs: 294 - Assembly export called for file PALM_URDF.SLDASM
2026-04-15 18:45:52,609 INFO  SwAddin.cs: 299 - Save is required
2026-04-15 18:45:52,609 INFO  SwAddin.cs: 313 - Saving assembly
2026-04-15 18:45:54,270 INFO  SwAddin.cs: 316 - Opening property manager
2026-04-15 18:45:54,277 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from PALM_URDF.SLDASM
2026-04-15 18:45:54,295 INFO  ExportHelperExtension.cs: 1136 - Found 205 in PALM_URDF.SLDASM
2026-04-15 18:45:54,296 INFO  ExportHelperExtension.cs: 1145 - Found 42 features of type [CoordSys] in PALM_URDF.SLDASM
2026-04-15 18:45:54,296 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-04-15 18:45:54,296 INFO  ExportHelperExtension.cs: 1160 - 24 components to check
2026-04-15 18:45:54,297 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from BASE-1
2026-04-15 18:45:54,297 INFO  ExportHelperExtension.cs: 1136 - Found 95 in BASE-1
2026-04-15 18:45:54,298 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [CoordSys] in BASE-1
