Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
BASE,0.000965351576364681,0.00188350285132322,0.0592475503813128,0,0,0,0.3661552578116,0.000260139647086525,-2.84451028459704E-06,-3.95149321502307E-05,0.000497625273932272,-1.3877897393546E-06,0.000339281330458025,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/BASE.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/BASE.STL,,BASE-1,BASE,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
TMCPF,-8.94485140175844E-08,-0.00651772632754087,0.00979641891039251,0,0,0,0.00403111186793774,3.51226821493149E-07,5.13601613296344E-13,-3.55839429695691E-12,5.76592866072564E-07,-3.46269775245642E-08,3.57954487924098E-07,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/TMCPF.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/TMCPF.STL,,TMCPF-1,TMCPF,TF,TF,revolute,0.0440000057220452,-0.00750000143051144,0.0429999918937673,0,1.5707963267949,0,BASE,-1,0,0,0,0,0,0,,,,,,,,
TMCPS,0.00101602033104417,-1.64329848853506E-07,-0.00331551855456258,0,0,0,0.0106268686560954,7.55169051256462E-07,6.05083284638009E-13,-2.40107133878515E-08,5.98746618834923E-07,6.62863403899304E-12,6.08350308334837E-07,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/TMCPS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/TMCPS.STL,,TMCPS-1,TMCPS,TS,TS,revolute,0,0,0.03085,0,0,0,TMCPF,0,0,-1,0,0,0,0,,,,,,,,
TPIP,0.00058359,0.00035219,0.014466,0,0,0,0.026754,5.499E-06,6.9282E-09,-1.5406E-07,4.4152E-06,1.2554E-07,1.9547E-06,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/TPIP.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/TPIP.STL,,"TPIP-1/t3_tactile-镜像-1;TPIP-1/t4_tactile_mirrored-1;TPIP-1/P1-从动销-1;TPIP-1/XL,XC-330-1",TPIP,TP,TP,revolute,0,0,0.0185,0,0,0,TMCPS,-1,0,0,0,0,0,0,,,,,,,,
TDIP,0.00022076,-0.0019775,0.023349,0,0,0,0.031918,5.1909E-06,3.054E-09,3.6763E-09,4.6049E-06,-2.3364E-07,1.529E-06,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/TDIP.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/TDIP.STL,,"TDIP-1/拇指带摄像头右-倾斜扩大改-1;TDIP-1/拇指带摄像头左-1;TDIP-1/XL,XC-330-1",TDIP,TD,TD,revolute,0,0,0.0465,0,0,0,TPIP,-1,0,0,0,0,0,0,,,,,,,,
TDIP_TACTILE_DOWN,-1.30104260698261E-16,0,-0.00249999999999999,0,0,0,0.00146,4.95483333333334E-08,2.91621335987951E-23,-5.55715796254778E-24,2.929E-08,3.69344866215767E-24,7.27550000000001E-08,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/TDIP_TACTILE_DOWN.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/TDIP_TACTILE_DOWN.STL,,TDIP-1/tactile-2,TDIP_TACTILE_DOWN,,TD_TD,fixed,0.0001,-0.015207,0.0075158,-1.5708,0,-3.1416,TDIP,0,0,0,,,,,,,,,,,,
TDIP_TACTILE_UP,-1.45716771982052E-16,0,-0.00249999999999999,0,0,0,0.00146,4.95483333333336E-08,3.83883135653823E-23,-9.88393007284592E-25,2.92900000000001E-08,-3.69629091429132E-25,7.27550000000003E-08,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/TDIP_TACTILE_UP.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/TDIP_TACTILE_UP.STL,,TDIP-1/tactile-1,TDIP_TACTILE_UP,,TD_UP,fixed,0.0001,-0.015207,0.030859,-1.5708,0,-3.1416,TDIP,0,0,0,,,,,,,,,,,,
TDIP_CAMERA,2.67746700503401E-05,0.00308600031104966,-0.0151496387593847,0,0,0,0.000865724954084934,1.2382360219818E-08,-9.28595651706118E-23,6.48000163005527E-23,4.23357916729273E-08,4.32469630376937E-09,4.62079016284062E-08,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/TDIP_CAMERA.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/TDIP_CAMERA.STL,,TDIP-1/拇指摄像头-改走线-1,TDIP_CAMERA,,TD_C,fixed,0.0001,-0.0097395,0.053595,-1.0472,0,-3.1416,TDIP,0,0,0,,,,,,,,,,,,
TPIP_TACTILE,-5.72205215501609E-10,0,-0.00249999999999997,0,0,0,0.00146,4.95483333333334E-08,-1.76252429735308E-23,-1.2376925121472E-24,2.92900000000001E-08,-1.9575347483553E-24,7.27550000000001E-08,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/TPIP_TACTILE.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/TPIP_TACTILE.STL,,TPIP-1/tactile-1,TPIP_TACTILE,,TP_T,fixed,0,-0.015,0.00745,-1.5708,0,3.1416,TPIP,0,0,0,,,,,,,,,,,,
IMCPF,-0.047077,0.0045111,-0.029218,0,0,0,0.83466,0.0062519,7.2616E-05,0.00018281,0.0083686,0.00022673,0.0024472,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/IMCPF.STL,0.67451,0.7098,0.73725,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/IMCPF.STL,,IMCPF-4,IMCPF,IF,IF,revolute,0.062,-0.0075,0.13,0,0,0,BASE,-1,0,0,0,0,0,0,,,,,,,,
