Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
BASE,0.000965351576364903,0.00188350285132322,0.0592475503813128,0,0,0,0.3661552578116,0.000260139647086525,-2.844510284597E-06,-3.95149321502307E-05,0.000497625273932272,-1.38778973935459E-06,0.000339281330458025,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured_2.SLDASM/meshes/BASE.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured_2.SLDASM/meshes/BASE.STL,,BASE-1,BASE,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
TMCPF,-8.94485140141149E-08,-0.00651772632754088,0.00979641891039273,0,0,0,0.00403111186793774,3.51226821493148E-07,5.13601613297051E-13,-3.55839429697393E-12,5.76592866072564E-07,-3.46269775245642E-08,3.57954487924098E-07,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured_2.SLDASM/meshes/TMCPF.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured_2.SLDASM/meshes/TMCPF.STL,,TMCPF-1,TMCPF,TF,TF,revolute,0.0440000057220452,-0.00750000143051144,0.0429999918937673,0,1.5707963267949,0,BASE,-1,0,0,0,0,0,0,,,,,,,,
TMCPS,0.00101602033104418,-1.64329848839628E-07,-0.00331551855456258,0,0,0,0.0106268686560954,7.55169051256462E-07,6.05083284641611E-13,-2.40107133878515E-08,5.98746618834924E-07,6.62863403898243E-12,6.08350308334837E-07,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured_2.SLDASM/meshes/TMCPS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured_2.SLDASM/meshes/TMCPS.STL,,TMCPS-1,TMCPS,TS,TS,revolute,0,0,0.03085,0,0,0,TMCPF,0,0,-1,0,0,0,0,,,,,,,,
TPIP,0.000583589611180832,0.000352188996532998,0.0144655843876953,0,0,0,0.0267535557871533,5.49903154572737E-06,6.9281732208777E-09,-1.54060831716358E-07,4.41518585987933E-06,1.2554164447543E-07,1.95468618389488E-06,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured_2.SLDASM/meshes/TPIP.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured_2.SLDASM/meshes/TPIP.STL,,"TPIP-1/t3_tactile-镜像-1;TPIP-1/t4_tactile_mirrored-1;TPIP-1/P1-从动销-1;TPIP-1/XL,XC-330-2",TPIP,TP,TP,revolute,0,0,0.0185,0,0,0,TMCPS,-1,0,0,0,0,0,0,,,,,,,,
TDIP,0.000220756270079975,-0.00197750589047327,0.0233489795511836,0,0,0,0.0319181921591647,5.19086296864556E-06,3.05404709037369E-09,3.67633554423351E-09,4.60492438514799E-06,-2.33636710533874E-07,1.5289886973583E-06,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured_2.SLDASM/meshes/TDIP.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured_2.SLDASM/meshes/TDIP.STL,,"TDIP-1/拇指带摄像头右-倾斜扩大改-1;TDIP-1/拇指带摄像头左-1;TDIP-1/XL,XC-330-2",TDIP,TD,TD,revolute,0,0,0.0465,0,0,0,TPIP,-1,0,0,0,0,0,0,,,,,,,,
TDIP_TACTILE_DOWN,-1.26634813746307E-16,0,-0.00249999999999997,0,0,0,0.00142750883117546,4.76072235096434E-08,2.66556616543641E-23,-6.01347892492057E-24,2.7992109161142E-08,4.40191439673304E-24,6.96513792075543E-08,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured_2.SLDASM/meshes/TDIP_TACTILE_DOWN.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured_2.SLDASM/meshes/TDIP_TACTILE_DOWN.STL,,TDIP-1/tactile-2,TDIP_TACTILE_DOWN,,TD_TD,fixed,0.0001,-0.015207,0.0075158,-1.5708,0,-3.1416,TDIP,0,0,0,,,,,,,,,,,,
TDIP_TACTILE_UP,0,-1.47451495458029E-16,0.00249999999999999,0,0,0,0.00142750883117546,2.7992109161142E-08,3.52574161063769E-23,-4.57258709553944E-24,4.76072235096436E-08,2.63773743393417E-24,6.96513792075545E-08,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured_2.SLDASM/meshes/TDIP_TACTILE_UP.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured_2.SLDASM/meshes/TDIP_TACTILE_UP.STL,,TDIP-1/tactile-1,TDIP_TACTILE_UP,,TD_UP,fixed,0.0001,-0.015207,0.030859,1.5708,1.5708,0,TDIP,0,0,0,,,,,,,,,,,,
TDIP_CAMERA,2.62682147357789E-05,0.00301973681891254,-0.0149362669168038,0,0,0,0.000838295454084939,1.18901412908026E-08,3.88948851883597E-23,-4.98406618594716E-24,4.03016166728707E-08,4.110180030754E-09,4.40328269236137E-08,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured_2.SLDASM/meshes/TDIP_CAMERA.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured_2.SLDASM/meshes/TDIP_CAMERA.STL,,TDIP-1/拇指摄像头-改走线-1,TDIP_CAMERA,,TD_C,fixed,0.000125,-0.0097395,0.053595,-1.0472,0,-3.1416,TDIP,0,0,0,,,,,,,,,,,,
TPIP_TACTILE,-4.16333634234434E-17,-2.22044604925031E-16,-0.00249999999999997,0,0,0,0.00142750883117546,4.76072235096434E-08,-1.975999906928E-23,2.78923906796758E-24,2.79921091611421E-08,-1.73816489671496E-24,6.96513792075544E-08,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured_2.SLDASM/meshes/TPIP_TACTILE.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured_2.SLDASM/meshes/TPIP_TACTILE.STL,,TPIP-1/tactile-1,TPIP_TACTILE,,TP_T,fixed,0,-0.015,0.00745,-1.5708,0,3.1416,TPIP,0,0,0,,,,,,,,,,,,
IMCPF,-0.0470925677136174,0.00452069551998729,-0.0292784937314663,0,0,0,0.834047288719578,0.00624390108816174,7.24659643785944E-05,0.000181531089728193,0.00835754155451461,0.000226125451448971,0.00244378845250895,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured_2.SLDASM/meshes/IMCPF.STL,0.674509803921569,0.709803921568627,0.737254901960784,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured_2.SLDASM/meshes/IMCPF.STL,,IMCPF-4,IMCPF,IF,IF,revolute,0.062,-0.0075,0.13,0,0,0,BASE,-1,0,0,0,0,0,0,,,,,,,,
IMCPS,9.94764829300721E-05,0.00139075928642569,0.0359614678641465,0,0,0,0.0293335594652239,4.59576293914582E-06,-8.99359538572162E-11,-2.6495406010219E-09,4.95857805112268E-06,-1.08820336619945E-08,1.67730236911392E-06,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured_2.SLDASM/meshes/IMCPS.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured_2.SLDASM/meshes/IMCPS.STL,,"IMCPS-4/f5_tactile-1;IMCPS-4/f6_tactile-1;IMCPS-4/f7_tactile-1;IMCPS-4/tactile_板子-1;IMCPS-4/f5盖子-1;IMCPS-4/XL,XC-330-2",IMCPS,IS,IS,revolute,0,0,0,0,0,0,IMCPF,0,1,0,0,0,0,0,,,,,,,,
IPIP,0.000592457577861971,0.000531163697173528,0.0311866797936823,0,0,0,0.0265604401702873,4.83220634550129E-06,1.06519727109616E-08,1.36332770821373E-07,3.77300635844143E-06,-5.4440099611092E-08,1.93131638461492E-06,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured_2.SLDASM/meshes/IPIP.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured_2.SLDASM/meshes/IPIP.STL,,"IPIP-4/f3_tactile-1;IPIP-4/f4_tactile-1;IPIP-4/P1-从动销-1;IPIP-4/XL,XC-330-2",IPIP,IP,IP,revolute,0,0,0.052,0,0,0,IMCPS,-1,0,0,0,0,0,0,,,,,,,,
IDIP,0.000755618362615618,-0.00285690029862938,0.0251719278979153,0,0,0,0.0152963409977158,2.60252180819881E-06,-6.11796223608379E-09,1.37867546785148E-07,2.43805284577736E-06,1.22062110226725E-07,7.35865815495027E-07,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured_2.SLDASM/meshes/IDIP.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured_2.SLDASM/meshes/IDIP.STL,,IDIP-4/手指带摄像头右_倾斜扩大改-1;IDIP-4/手指带摄像头左_倾斜扩大-1;IDIP-4/P1-从动销-1,IDIP,ID,ID,revolute,0,0,0.0465,0,0,0,IPIP,-1,0,0,0,0,0,0,,,,,,,,
IDIP_TACTILE,2.22044604925031E-16,0,-0.00250000000000002,0,0,0,0.00142750883117545,4.76072235096428E-08,7.36049675760464E-23,5.69996245196331E-24,2.79921091611417E-08,5.04901019548267E-24,6.96513792075534E-08,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured_2.SLDASM/meshes/IDIP_TACTILE.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured_2.SLDASM/meshes/IDIP_TACTILE.STL,,IDIP-4/tactile-1,IDIP_TACTILE,,ID_T,fixed,0,-0.014925,0.024096,-1.5708,0,3.1416,IDIP,0,0,0,,,,,,,,,,,,
IDIP_CAMERA,1.48867747553627E-05,0.00397946975845628,-0.0148683685723602,0,0,0,0.000840420454084937,1.19074089718339E-08,5.2007901393941E-24,-1.40033621358123E-12,4.03352077735302E-08,4.10633075233963E-09,4.41011611658397E-08,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured_2.SLDASM/meshes/IDIP_CAMERA.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured_2.SLDASM/meshes/IDIP_CAMERA.STL,,IDIP-4/摄像头-改走线-1,IDIP_CAMERA,,ID_C,fixed,0,-0.0094581,0.043053,-1.0472,0,-3.1416,IDIP,0,0,0,,,,,,,,,,,,
